Video Title,Genre,Comment,Error,Category,Correct Form
বিশ্বকাপের সেমিতে যেতে কয়টি ম্যাচ জিততে হবে বাংলাদেশকে? - নট আউট নোমান,Sports,আমাকে মনে হচ্ছে বাংলাদেশ নিম্নে ৬ টা ম্যাচ জিতবে এবার নমান ভাই,1,Grammatical,আমার মনে হচ্ছে বাংলাদেশ নিম্নে ৬ টা ম্যাচ জিতবে এবার নমান ভাই
Notun Bou | নতুন বউ | Natok | Apurba | Sabila Nur | Rubel Hasan | New Natok 2023,Entertainment,নাটক টা চমৎকার হয়েছে তবে এমন মেয়ে ভূল বুঝে ফিরে আসে অন্য মেয়ে গুলো ঠিকই চলে যায়,1,Spelling,নাটক টা চমৎকার হয়েছে তবে এমন মেয়ে ভুল বুঝে ফিরে আসে অন্য মেয়ে গুলো ঠিকই চলে যায়
চীন এবং রাশিয়া সোনা মজুদ করছে কেন ?,Politics,আর আমরা বেগম পাড়ায় বাড়ী করছি,1,Spelling,আর আমরা বেগম পাড়ায় বাড়ি করছি
সেক্স এডুকেশন বা যৌন শিক্ষা: বাংলাদেশে শ্রেণীকক্ষে যা পড়ানো হচ্ছে । BBC News Bangla,News,দোয়া করি আল্লাহ যেন  শহীদ  প্রেসিডেন্ট   জিয়াউর রহমান কে জান্নাতুল ফেরদৌসের উচ্চ মোকাম দান করুন আমিন সুম্মা আমিন,0,,দোয়া করি আল্লাহ যেন  শহীদ  প্রেসিডেন্ট   জিয়াউর রহমান কে জান্নাতুল ফেরদৌসের উচ্চ মোকাম দান করুন আমিন সুম্মা আমিন
মাহমুদুল্লাহর সেরা ১০টি ইনিংস || 10 Greatest Innings of Mahmudullah Riyad || Bissoy Bangla,Sports,মাহমুদুল্লাহ রিয়াদ জন্য শুভ কামনা কারিয়ারের শেষ জেনো ভালো কিছু উপহার দেয় বাংলাদেশে কে,1,Multiple Errors,মাহমুদুল্লাহ রিয়াদ জন্য শুভ কামনা কারিয়ারের শেষে যেন ভালো কিছু উপহার দেয় বাংলাদেশেকে
Ore Nil Doriya│Sareng Bou│Farooque│Kabori Sarwar│Bangla Old Movie Song,Entertainment,ছোট বেলা থেকে এখনো শুনি,0,,ছোট বেলা থেকে এখনো শুনি
বিএনপির হামলার পর যা বললেন পুলিশের ঊর্ধ্বতন কর্মকর্তা | BNP | DMP | Channel 24,Politics,প্রবাসী ভাইদের অনুরোধ করছি যতদিন না ধোকাবাজ হাসিনা খমতা না ছাড়বে ব্যাংকের মাধ্যমে টাকা দেওয়া বন্ধ করুন,1,Multiple Errors,প্রবাসী ভাইদের অনুরোধ করছি যতদিন না ধোঁকাবাজ হাসিনা ক্ষমতা না ছাড়বে ব্যাংকের মাধ্যমে টাকা দেওয়া বন্ধ করুন
"ট্রাকে ট্রাকে ঢুকছে পেঁয়াজ, ধরা অসাধু সিন্ডিকেট | Onion imports | Rtv News",News,আলহামদুলিল্লাহ ৬ লক্ষ টাকা লস,0,,আলহামদুলিল্লাহ ৬ লক্ষ টাকা লস
মোবাইলের নেশা 📵 | Mobile Addiction By Tarun Inspiration | Motivational video bangla 2023 | #video,Miscellaneous,এই পুরো ফোনের ব্যাপারটা প্রত্যেকটা কথা পজেটিভ আলোচনাটা ভীষন ভালো লাগলো,1,Code Switching,এই পুরো ফোনের ব্যাপারটা প্রত্যেকটা কথা পজেটিভ আলোচনাটা ভীষন ভালো লাগলো
ইলিশের গল্প - Best Of Gopal Bhar - Full Episode,Entertainment,চরমোনাই আরো পরে আসবে,0,,চরমোনাই আরো পরে আসবে
"পূজা মণ্ডপে কোরআন: ঢাকা ও নোয়াখালীতে জুমার নামাজের পর বিক্ষোভ, সংঘর্ষ ও হামলা | BBC Bangla",News,এখানে ও অনেক পাকি রাজাকার দেকতেছি,1,Spelling,এখানে ও অনেক পাকি রাজাকার দেখতেছি
আর্জেন্টিনা VS ব্রাজিল|ফাইনাল|কোপা আমেরিকা ২০২১|Football Bangla Funny Dubbing Mama Problem New,Entertainment,ভাই এই রকম কাতার বিশ্ব কাপের ও ফানি বিডিও চাই,1,Code Switching,ভাই এই রকম কাতার বিশ্ব কাপের ও মজার ভিডিও চাই
মানবিক বিভাগে পড়েও কাজ করছেন বিজ্ঞান নিয়ে | Fogger Machine | Savar | Channel 24,News,এই ধরনের কোন বিঙ্গানিদের কোন মূল্য নেই এদেশে,1,Spelling,এই ধরনের কোন বিজ্ঞানীদের কোন মূল্য নেই এদেশে
আর্জেন্টিনা VS ব্রাজিল|ফাইনাল|কোপা আমেরিকা ২০২১|Football Bangla Funny Dubbing Mama Problem New,Entertainment,অপসাইট ছিল এটা গোল হয় না,1,Spelling,অফসাইডে  ছিল এটা গোল হয় না
আমি বিশ্বের সবচেয়ে উষ্ণ স্থানে গিয়েছিলাম (৭০.৭°সে.) লুত মরুভূমি,Miscellaneous,আল্লাহু আকবার আল্লাহু আকবর আল্লাহু আকবর,0,,আল্লাহু আকবার আল্লাহু আকবর আল্লাহু আকবর
পহেলা বৈশাখে 'মঙ্গল শোভাযাত্রা' বন্ধে আইনি নোটিশ | Pohela Boishakh | Rtv News,News,এই আইন জিবি ভালো কাজ করে ছে আল্লাহ ওনাকে এই রকম কাজ করার তৌফিক দান করুন,1,Spelling,এই আইনজীবী ভালো কাজ করেছে আল্লাহ ওনাকে এই রকম কাজ করার তৌফিক দান করুন
বিশ্বকাপের সেমিতে যেতে কয়টি ম্যাচ জিততে হবে বাংলাদেশকে? - নট আউট নোমান,Sports,দল হিসাব করে বিশ্ব কাপ জিতা যায় না চিন্তা করতে হবে সব দল কে হারাতে হবে এবং আমরা বিশ্ব কাপ জিতবো,0,,দল হিসাব করে বিশ্ব কাপ জিতা যায় না চিন্তা করতে হবে সব দল কে হারাতে হবে এবং আমরা বিশ্ব কাপ জিতবো
ফুটবল বিশ্বকাপ নিয়ে গগন ও সুমাইয়ার ডুয়েট গান🔥GOGON ft. SUMAIYA | জমবে রে জমবে এবার ফুটবল বিশ্বকাপ,Entertainment,ভাইয়া অনেক অনেক সুন্দর হয়েছে,0,,ভাইয়া অনেক অনেক সুন্দর হয়েছে
নেত্রীর কথা শুনলে এখন হাজার হাজার শ্রমিক রাস্তায় নেমে যাবে' | Sheikh Sharhan Naser Tonmoy,Politics,সহমত সারহান নাসের তন্ময় ভাই,0,,সহমত সারহান নাসের তন্ময় ভাই
বিএনপির অবস্থান কর্মসূচি ঘিরে রণক্ষেত্র ঢাকার বিভিন্ন প্রবেশমুখ | BNP & Police | Channel 24,Politics,আমাদের দেশের একটা কলঙ্ক পুলিশের সাথে সরাসরি সরকার দলীয় লোকজন লাঠি হাতে নিয়ে গুরাফেরা করে তাহলে পুলিশের কি সুনাম ভআড়এ না কমে এটাই আমার পুলিশ ভাইদের কাছে প্রশ্ন রইল,1,Spelling,আমাদের দেশের একটা কলঙ্ক পুলিশের সাথে সরাসরি সরকার দলীয় লোকজন লাঠি হাতে নিয়ে ঘুরাফেরা করে তাহলে পুলিশের কি সুনাম বাড়ে না কমে এটাই আমার পুলিশ ভাইদের কাছে প্রশ্ন রইল
একাকিত্ব আল্লাহর বড় নেয়ামত। আবু ত্বহা মুহাম্মদ আদনান । Abu toha Mohammad Adnan,Miscellaneous,একাকীত্ব আমাকে ধরযো ধরার তৌফিক দান করেছেন আমি আমার আল্লাহকে খুজে পেয়েছি,1,Spelling,একাকীত্ব আমাকে ধৈর্য্য ধরার তৌফিক দান করেছেন আমি আমার আল্লাহকে খুঁজে পেয়েছি
জিয়াউর রহমান: বিএনপির প্রতিষ্ঠাতা ও সাবেক রাষ্ট্রপতির মৃতদেহের খোঁজ মিলে যেভাবে | BBC Bangla,Politics,ভাই আর যাই বলেন মাঝখানে নোয়াখালী রাখাটা পারফেক্ট হইছে,0,,ভাই আর যাই বলেন মাঝখানে নোয়াখালী রাখাটা পারফেক্ট হইছে
"ব্রেকিং নিউজ, জুনে বাংলাদেশের সাথে প্রীতি ফুটবল ম্যাচ খেলবে আর্জেন্টিনা | Argentina vs Bangladesh",Sports,দূর ফালতু ভিডিও ফালতু খবর,1,Spelling,ধুর ফালতু ভিডিও ফালতু খবর
New Trending Business Idea In 2023 ll New Business Ideas In 2023 ll Bio Carry Bags Making Business,Miscellaneous,বাংলাদেশ চট্টগ্রামে কিভাবে পেতে পারি,0,,বাংলাদেশ চট্টগ্রামে কিভাবে পেতে পারি
বিশ্বকাপ এ সেরা ১০ গোল | Top 10 Qatar World Cup 2022 Goals,Entertainment,বিশ্ব কাপ কোন প্লেয়ার কী কী পুরস্কার পেয়েছে এটা নিয়ে একটা ভিডিও বানাউ,0,,বিশ্ব কাপ কোন প্লেয়ার কী কী পুরস্কার পেয়েছে এটা নিয়ে একটা ভিডিও বানাউ
সেরা ম্যাচ!!! Bangladesh vs Sri Lanka Best Funny Video | Nidhas Trophy Dubbing | Sports Talkies,Sports,ভন্ডামীর একটা জায়গা আছে বুঝছেন ভাই,0,,ভন্ডামীর একটা জায়গা আছে বুঝছেন ভাই
"মুরগির দোকানে ভোক্তা অধিকার, অন্যায় করেও তর্ক করেন ব্যবসায়ীরা | DBC NEWS",News,এমন অভিজান প্রতিটি বাজারে হওয়া দরকার,0,,এমন অভিজান প্রতিটি বাজারে হওয়া দরকার
"ট্রাকে ট্রাকে ঢুকছে পেঁয়াজ, ধরা অসাধু সিন্ডিকেট | Onion imports | Rtv News",News,আরো দাম কমানো হোক,0,,আরো দাম কমানো হোক
চীন বনাম আমেরিকা সেমিকন্ডাকটর যুদ্ধ কিভাবে শুরু হল ?,Politics,আপনার কাছে আবেদন করেছিলাম পাঠ্য পুস্তকের বিকৃত ইতিহাস অবৈজ্ঞানিক কথাবার্তা নিয়ে একটি ভিডিও বানাতে কিন্তু আপনি বানান নিয়ে খুবই কষ্ট পেলাম,0,,আপনার কাছে আবেদন করেছিলাম পাঠ্য পুস্তকের বিকৃত ইতিহাস অবৈজ্ঞানিক কথাবার্তা নিয়ে একটি ভিডিও বানাতে কিন্তু আপনি বানান নিয়ে খুবই কষ্ট পেলাম
বাবার ক্ষমতা থাকলে মেয়েরা যা করে.. প্রভাবশালীর মেয়ে বলে ছেলেটির সাথে যা করলো.. শেষ পর্যন্ত দেখুন,Entertainment,ভাই আফরান নিসু ভাই কোথায় থাকে বলতে পারেন,0,,ভাই আফরান নিসু ভাই কোথায় থাকে বলতে পারেন
ছায়াপথ বা গ্যালাক্সি | কি কেন কিভাবে | Galaxy | Ki Keno Kivabe,Miscellaneous,আল্লাহ কত মহান আল্লায় ভালো জানেন তার মহত্তের মধ্যে কেউ হাত দিতে পারবে না,1,Spelling,আল্লাহ কত মহান আল্লাহই ভালো জানেন তার মহত্বের মধ্যে কেউ হাত দিতে পারবে না
১০০০ টাকার বাজার নিয়ে ভোক্তা অধিদপ্তরে | আমার কিছু বলার আছে | Amar Kichu Bolar Ache | Channel 24,News,অসাধারণ ভিডিও সাংবাদিক  অনেক অনেক ধন্যবাদ গরিব মানুষের মনের কথাগুলো তুলে ধরার জন্য,0,,অসাধারণ ভিডিও সাংবাদিক  অনেক অনেক ধন্যবাদ গরিব মানুষের মনের কথাগুলো তুলে ধরার জন্য
কতটা ভয়াবহ ছিল ১৯৯৮ সালের বন্যা ?😢 কাঁদতে বাধ্য হবেন | Flood in Bangladesh 1998 Documentary,Miscellaneous,আল্লাহ তায়ালা যেন তাদের জান্নাত বাসী করোক আমিন,1,Spelling,আল্লাহ তায়ালা যেন তাদের জান্নাতবাসী করুক আমিন
Highlights | চ্যাম্পিয়ন বাংলাদেশ! | Bangladesh Vs India | Saff U-19 Women's Championship | T Sports,Sports,এরা বিশ্বকাপ খেলবে ইনশাআল্লাহ,0,,এরা বিশ্বকাপ খেলবে ইনশাআল্লাহ
"পূজা মণ্ডপে কোরআন: ঢাকা ও নোয়াখালীতে জুমার নামাজের পর বিক্ষোভ, সংঘর্ষ ও হামলা | BBC Bangla",News,নতুন কিছু বানাও,0,,নতুন কিছু বানাও
তারেক রহমান ২০০৮ সালে কেন দেশ ছেড়েছিলেন?,Politics,যে যেরকম করবে তারও এরকম হবে একদিন নাহলে একদিন,0,,যে যেরকম করবে তারও এরকম হবে একদিন নাহলে একদিন
আমি বিশ্বের সবচেয়ে উষ্ণ স্থানে গিয়েছিলাম (৭০.৭°সে.) লুত মরুভূমি,Miscellaneous,আল্লাহ আমাদের কে কত ভালো রেখেছে আলহামদুলিল্লাহ,0,,আল্লাহ আমাদের কে কত ভালো রেখেছে আলহামদুলিল্লাহ
চরম লেভেলের মুভি । অস্থির বিনোদন ! 🤣🤣 Movie Explained in Bangla,Entertainment,ভাই আমি  এটা ৫৬ বার দেখেছি,0,,ভাই আমি  এটা ৫৬ বার দেখেছি
যশোরে গ্রামবাসীরা তৈরি করছে হাজার ফুট দীর্ঘ ভাসমান সেতু| BBC News Bangla,News,কোরআন হাদিস মতে জিন্দেগি করি,1,Code Switching,কোরআন হাদিস মতে জীবন করি
"মুরগির দোকানে ভোক্তা অধিকার, অন্যায় করেও তর্ক করেন ব্যবসায়ীরা | DBC NEWS",News,ধন্যবাদ স্যার এদের কে না ধরে বড় বড় আমলাদের ধরেন সিন্ডিকেট ভাংগেন,0,,ধন্যবাদ স্যার এদের কে না ধরে বড় বড় আমলাদের ধরেন সিন্ডিকেট ভাংগেন
রাশিয়া ইউক্রেন যুদ্ধ শেষ হয় না কেন ?,Politics,বারাক ওবামার জীবনি নিয়ে একটা ভিডিও চাই,1,Spelling,বারাক ওবামার জীবনী নিয়ে একটা ভিডিও চাই
Amar Mon Mojaiya Re X Doyal | আমার মন মজাইয়ারে | Slowed & Reverb | Saif Zohan Bangla New Song 2022,Entertainment,অনেক পিয় গান শুনে আমার কুভ বালো লাগে,1,Spelling,অনেক প্রিয় গান শুনে আমার খুব ভালো লাগে
আমি বিশ্বের সবচেয়ে উষ্ণ স্থানে গিয়েছিলাম (৭০.৭°সে.) লুত মরুভূমি,Miscellaneous,বেয়ার গ্রিলস  পরে আরেক গ্রিলস,1,Grammatical,বেয়ার গ্রিলস এর পরে আরেক গ্রিলস
সেরা ম্যাচ!!! Bangladesh vs Sri Lanka Best Funny Video | Nidhas Trophy Dubbing | Sports Talkies,Sports,অনেক মজা পেলাম,0,,অনেক মজা পেলাম
বাহুবলী সিনেমার শ্যুটিং হয়েছিলো কেরালার যে জলপ্রপাতে || Bahubali Waterfalls | Athirapilly Waterfalls,Entertainment,সুমন ভাই আপনাকে অসংখ্য অসংখ্য থ্যাংক ইউ এত সুন্দর সুন্দর জায়গা আমাদেরকে উপহার দেওয়ার জন্য,1,Code Switching,সুমন ভাই আপনাকে অসংখ্য অসংখ্য ধন্যবাদ এত সুন্দর সুন্দর জায়গা আমাদেরকে উপহার দেওয়ার জন্য
শ্রেষ্ঠ মানুষেরা - [পর্ব ১৯] - মুসা (আঃ) (আল্লাহ্‌র সাথে কথোপকথন),Miscellaneous,অপেক্ষার প্রহর যেন শেষ হয়না শ্রেষ্ঠ সিরিজের জন্য,1,Code Switching,অপেক্ষার প্রহর যেন শেষ হয়না শ্রেষ্ঠ ধারাবাহিকের জন্য
বারী সিদ্দিকীর সেরা সুপার হিট দশটি গান | Best Of Bari Siddiqui | Bangla Songs | Bangla Super Song BD,Entertainment,প্রিয় মানুষটির কথা মনে পরে গেলো কেনো যে ছেরে চলে গেলি বুজলামনা   কেনো যে ড্রিবছ পেপারে  ছাইন করিলি,1,Multiple Errors,প্রিয় মানুষটির কথা মনে পড়ে গেলো কেনো যে ছেড়ে চলে গেলি বুঝলাম না কেনো যে তালাক কাগজে স্বাক্ষর করলি
Oviman - lyrics। অভিমান। Tumi Bujhoni Ami Bolini। Tanveer Evan। Piran Khan। #অভিমান #tanveerevan,Entertainment,মায়া ত্যাগ করে চলে এসেছি  তবুও  মনে পরে তাকে,0,,মায়া ত্যাগ করে চলে এসেছি  তবুও  মনে পরে তাকে
"ভারতে হিজাব বিতর্ক:কর্নাটকে মুসলিম ছাত্রীদের বিক্ষোভ, হাইস্কুল-কলেজ বন্ধ|India hijab row viral video",News,তাতে বুঝা গেল কিয়ামত আর বেশি দেরি নয় অতি নিকটে চলে এসেছে,0,,তাতে বুঝা গেল কিয়ামত আর বেশি দেরি নয় অতি নিকটে চলে এসেছে
Notun Bou | নতুন বউ | Natok | Apurba | Sabila Nur | Rubel Hasan | New Natok 2023,Entertainment,শেষ মূহুর্তের প্রাকৃতিক দৃশ্যটা জাস্ট অনন্য,1,Code Switching,শেষ মূহুর্তের প্রাকৃতিক দৃশ্যটা শুধু অনন্য
আপনার অপ্রয়োজনীয় অংশটুকু হয়তো কারো খুশির কারন | Happiness is Sharing | Musfiq R Farhan | AK Nadim,Entertainment,বুঝলাম অন্যকে সাহায্য করলেই আসল শান্তি পাওয়া যায়,0,,বুঝলাম অন্যকে সাহায্য করলেই আসল শান্তি পাওয়া যায়
ইলিশের গল্প - Best Of Gopal Bhar - Full Episode,Entertainment,আন্দালিব পার্থ  ভাইকে আমাকে  আসসালামু আলাইকুম,1,Grammatical,আন্দালিব পার্থ  ভাইকে আমার  আসসালামু আলাইকুম
[২য় পর্ব] সেরা কয়েকটি দৃষ্টিভ্রম | Top optical and sound illusion bangla|,Miscellaneous,কারা কারা আমাদের বিশ্বনবী হযরত মুহাম্মদ সাল্লাল্লাহু ওয়া সাল্লাম কে ভালোবাসেন তাঁরা একটা অবশ্যই লাইক দিবেন,0,,কারা কারা আমাদের বিশ্বনবী হযরত মুহাম্মদ সাল্লাল্লাহু ওয়া সাল্লাম কে ভালোবাসেন তাঁরা একটা অবশ্যই লাইক দিবেন
সেক্স এডুকেশন বা যৌন শিক্ষা: বাংলাদেশে শ্রেণীকক্ষে যা পড়ানো হচ্ছে । BBC News Bangla,News,আসলে আমাদের মুরুব্বিদের জীবন থেকে অনেক কিছু শিখা উচিত,0,,আসলে আমাদের মুরুব্বিদের জীবন থেকে অনেক কিছু শিখা উচিত
যশোরে গ্রামবাসীরা তৈরি করছে হাজার ফুট দীর্ঘ ভাসমান সেতু| BBC News Bangla,News,শেরেবাংলা ফজলুল হক  পরে যদি কাউকে বাংলার বাঘ উপাধি দিত তাহলে আন্দালিব রহমান পার্থ সাহেব কে দিত,1,Grammatical,শেরেবাংলা ফজলুল হক এর পরে যদি কাউকে বাংলার বাঘ উপাধি দিত তাহলে আন্দালিব রহমান পার্থ সাহেব কে দিত
পথ শিশুর কথাগুলে প্রধানমন্ত্রীর কলিজা কাপিয়ে দিবে || A heart-wrenching story of a poor Boy,Miscellaneous,কথাগুলো শুনে চোখের পানি ধরে রাখতে পারলাম না আল্লাহতালা সকল পথশিশুকে নির্দিষ্ট একটা স্থানকে থাকার তৌফিক দান করুক আমিন,1,Grammatical,কথাগুলো শুনে চোখের পানি ধরে রাখতে পারলাম না আল্লাহতালা সকল পথশিশুকে নির্দিষ্ট একটা স্থানে থাকার তৌফিক দান করুক আমিন
হুজুরদের সাথে ফুটবল খেললেন গোলাম রব্বানী ! খেলা দেখে না হেসে পারলাম না Golam Rabbani Abdus Salam,Sports,অনেক সুন্দর লাগলো অনেক সুন্দর লাগলো খুব ভালো খুব ভালো,0,,অনেক সুন্দর লাগলো অনেক সুন্দর লাগলো খুব ভালো খুব ভালো
"মন দিয়ে ভালোবাসা হয়, পোষাকে না। | AFRAN NISHO & TANJIN TISHA | X boyfriend Natok",Entertainment,নাটক ভালো কিন্তু পোশাক পরা ভালো না মানে পুশাক গুলি নোষটা মি,1,Spelling,নাটক ভালো কিন্তু পোশাক পরা ভালো না মানে পোশাক গুলি নষ্টামি
করোনা ভাইরাস ভ্যাকসিন: টিকা নিতে আগ্রহী হলে যেসব বিষয় আপনার জানা থাকা জরুরি,News,আমি ইন্ডিয়ান বাট আমাকে এগুলো ভালো লাগলো না ঔই টা বাদদিয়ে দুনিয়ার মধ্যে অনেক কিছু শেখানোর আছে ওগুলো শিখালে ভালো হতো মনে হয়,0,,আমি ইন্ডিয়ান বাট আমাকে এগুলো ভালো লাগলো না ঔই টা বাদদিয়ে দুনিয়ার মধ্যে অনেক কিছু শেখানোর আছে ওগুলো শিখালে ভালো হতো মনে হয়
কোন পথে দেশের রাজনীতি? | Bangladesh Politics | PM Sheikh Hasina | Begum Khaleda Zia | Somoy TV,Politics,অবশ্যই ভোট চরের বিচার হবে গলাফাটিয়ে লাভ নেই,1,Spelling,অবশ্যই ভোট চুরির বিচার হবে গলা ফাটিয়ে লাভ নেই
বাংলাদেশে প্রথমবারের মত মাথা জোড়া লাগা জমজ শিশুদের পৃথক করতে অস্ত্রোপচার। BBC Bangla,News,বৃষ্টির এপিসোড দেকতে আমার খুব ভালো লাগে,1,Spelling,বৃষ্টির এপিসোড দেখতে আমার খুব ভালো লাগে
জিয়াউর রহমান: বিএনপির প্রতিষ্ঠাতা ও সাবেক রাষ্ট্রপতির মৃতদেহের খোঁজ মিলে যেভাবে | BBC Bangla,Politics,পাঁচ ওয়াক্ত নামাজ পড়ার চেষ্টা করবা ইনশাআল্লাহ,1,Grammatical,পাঁচ ওয়াক্ত নামাজ পড়ার চেষ্টা করব ইনশাআল্লাহ
ডলারকে বাদ দেয়ার জন্য কি কি চেষ্টা করে যাচ্ছে ব্রিকস জোট ? | Dollar | News | Ekattor TV,Politics,ডলারের উপর নির্ভরতা থেকে বেরিয়ে আসতে হবে,0,,ডলারের উপর নির্ভরতা থেকে বেরিয়ে আসতে হবে
"Coffee Houser sei addata Video, Debashis Sengupta_",Entertainment,গানটা প্রথম শুনেছিলাম ২০১৪সালে,0,,গানটা প্রথম শুনেছিলাম ২০১৪সালে
তুরস্কের চেয়ে ভয়াবহ ভূমিকম্পের ঝুঁকিতে বাংলাদেশ | BBC Bangla,News,ধর্মের আলোকে যৌন শিক্ষা দেয়া হোক,0,,ধর্মের আলোকে যৌন শিক্ষা দেয়া হোক
নাসার বিজ্ঞানীরা চাঁদের মাটিতে গাছ লাগিয়ে সবাইকে অবাক করে দিলো | Nasa Started Farming on the Moon,Miscellaneous,মিথ্যা কথা বলার জায়গা পান নাই,0,,মিথ্যা কথা বলার জায়গা পান নাই
প্রবাসী আফরোজা দেশে এসে শ্বশুরবাড়িতে খু*ন! | অনুসন্ধান | ক্রাইম ওয়াচ | Crime Watch | EP 369 | NTV,News,বুঝলাম এক বছর হয়ছে বিয়ে হয়ছে তাহলে মেয়ে এত বড় কেন,0,,বুঝলাম এক বছর হয়ছে বিয়ে হয়ছে তাহলে মেয়ে এত বড় কেন
সেক্স এডুকেশন বা যৌন শিক্ষা: বাংলাদেশে শ্রেণীকক্ষে যা পড়ানো হচ্ছে । BBC News Bangla,News,সাম্প্রদায়িক মৌলবাদ নিপাত যাক,0,,সাম্প্রদায়িক মৌলবাদ নিপাত যাক
যে প্রেম কাহিনী কোন বাধা মানেনি | BBC Bangla,Miscellaneous,দালালি করা বাদ দেন,0,,দালালি করা বাদ দেন
Sitakunda | সীতাকুন্ড | Travel Sitakunda of Chattagong in Bangladesh | Chandranath Temple | Mr Luxsu,Entertainment,সেই ভাই সেই ভিডিও কোয়ালিটি অস্থির,1,Code Switching,সেই ভাই সেই ভিডিও গুণমান অস্থির
New Trending Business Idea In 2023 ll New Business Ideas In 2023 ll Bio Carry Bags Making Business,Miscellaneous,বাংলাদেশ এ আমরা  সমস্ত বিষয় নিয়ে কোথায় আলোচনা করতে পারবো,1,Grammatical,বাংলাদেশ এ আমরা এর সমস্ত বিষয় নিয়ে কোথায় আলোচনা করতে পারবো
Turkey earthquake: সিরিয়ার ধ্বংসস্তূপ থেকে সুস্থ নবজাতক উদ্ধার,News,সোনার বাংলার একটা ভূমি কম্পো হওয়া দরকার কারণ কিছু জালেম আছে এই দেশে,0,,সোনার বাংলার একটা ভূমি কম্পো হওয়া দরকার কারণ কিছু জালেম আছে এই দেশে
অস্থির বাঙালি Part 35😂 osthir bengali | funny video | funny facts | facts bangla,Entertainment,১ টা বিয়ে করেই মোর জীবন তামা তামা আর পরি মনি নাকি ৬ টা বিয়ে করছে হাসি পাওয়ারি কথা,1,Spelling,১ টা বিয়ে করেই আমার জীবন তামা তামা আর পরি মনি নাকি ৬ টা বিয়ে করছে হাসি পাওয়ারি কথা
যেমন কর্ম তেমন ফল 😋😋 যারা দূরে চলে গিয়ে আবার ফিরে আসে তাঁদের কি বলা উচিৎ আসলে!,Entertainment,আজ আবেগ দিয়ে নেশার নোকায় পাংখা লাগাইছি,1,Spelling,আজ আবেগ দিয়ে নেশার নৌকায় পাংখা লাগিয়েছি
